Feeder Name,Grid,1st Cycle,2nd Cycle,3rd Cycle,4th Cycle
Rao R.M.U,Baloch Colony,0705~0835,1205~1335,1535~1705,2135~2305
Rasool Bagh,Jail Road,0935~1205,1405~1705,1835~2105,2335~0135
Rauf Oil,Old Town,1005~1235,1435~1735,1905~2135,2305~0105
Raza Residency,Airport 2,0805~0935,1235~1405,1535~1705,2135~2305
Rehbar Club S/S,Jail Road,1035~1305,1505~1805,1935~2205,0005~0205
Rehmania,Liaquatabad,0705~0835,1205~1335,1535~1705,2135~2305
Rehmania Garden,Jail Road,0935~1105,1335~1505,1705~1835,2305~0035
Rest House,Memon Goth,0835~1105,1235~1535,1705~1935,2205~0005
Reta Plot,Airport,0835~1105,1235~1535,1705~1935,2135~2335
Revenue Office,Garden East,0935~1105,1335~1505,1705~1835,2305~0035
Rexer Lane,Garden East,0705~0935,1135~1435,1635~1905,2035~2235
Riaz Hotel RMU,Korangi South,0805~0935,1235~1405,1535~1705,2135~2305
Riazabad Bus Stop RMU,Baldia,0735~1005,1205~1505,1635~1905,2105~2305
Rice Grinding (Ex-Landhi Telephone Exchange),Landhi,1105~1335,1505~1805,1935~2205,0005~0205
Rig,Federal B,0935~1205,1335~1635,1805~2035,2235~0035
Risala Police,Old Town,0935~1205,1335~1635,1805~2035,2205~0005
River Pmt,Memon Goth,0835~1105,1235~1535,1705~1935,2205~0005
Rk Studio,Orangi Town,0705~0935,1205~1505,1635~1905,2035~2235
Road 2 RMU,KEPZ,0935~1205,1335~1635,1805~2035,2235~0035
Roshanabad,Airport,0835~1105,1235~1535,1705~1935,2135~2335
Roti Plant,Korangi East,1035~1205,1335~1505,1735~1905,0005~0135
Royal City,Surjani Town,1035~1305,1505~1805,1935~2205,0005~0205
Rukunuddin,Civic Center,0905~1135,1335~1635,1805~2035,2205~0005
Rupali RMU,KDA,0835~1105,1235~1535,1705~1935,2205~0005
Sabri Chowk,Orangi Town,0935~1205,1335~1635,1805~2035,2205~0005
Sachal Sarmast (Ex. Afghan Basti),KDA,1105~1335,1505~1805,1935~2205,0005~0205
Sadat Colony,Airport,0835~1105,1235~1535,1705~1935,2135~2335
Sadi Town,KDA,1035~1205,1335~1505,1735~1905,0005~0135
Sadiq Nagar,Azizabad,1105~1235,1505~1635,1805~1935,0035~0205
Sadullah Goth,Baldia,1005~1235,1405~1705,1905~2135,2335~0135
Saeedabad,Baldia,1105~1235,1505~1635,1805~1935,0035~0205
Sahafi Colony,KDA,0835~1105,1235~1535,1705~1935,2205~0005
Saiban,Surjani Town,0735~1005,1205~1505,1635~1905,2035~2235
Saifal Goth,Gulshan-E-Maymar,1105~1335,1505~1805,1935~2205,0005~0205
Saima Green Valley,Memon Goth,0805~0935,1235~1405,1535~1705,2135~2305
Saima Villas,KDA,1105~1235,1505~1635,1805~1935,0035~0205
Sakran (Ex-Mengalabad RMU),Hub Chowki,0705~0935,1135~1435,1635~1905,2035~2235
Saleem Terrace,Garden East,0905~1135,1335~1635,1805~2035,2205~0005
Saleem Zaki (Ex-Saima Villas 2),KDA,1105~1235,1505~1635,1805~1935,0035~0205
Sallu Garden,Surjani Town,0705~0935,1205~1505,1635~1905,2035~2235
Salman Garden,Airport 2,0805~0935,1235~1405,1535~1705,2135~2305
Salman Height,Liaquatabad,1105~1335,1505~1805,1935~2205,0005~0205
Sangam Cinema,Airport,0805~0935,1235~1405,1535~1705,2135~2305
Sanitary Shop (Ex-Agha Khan 1 Ss),Jail Road,1105~1335,1505~1805,1935~2205,0005~0205
Sarafa Bazar Ss,Azizabad,0705~0835,1205~1335,1535~1705,2135~2305
Saudabad Pumping,Civil Aviation,0835~1105,1235~1535,1705~1935,2135~2335
Sea Mill,West Wharf,1005~1235,1405~1705,1905~2135,2335~0135
Sector 10 RMU,Korangi East,1105~1335,1505~1805,1935~2205,0005~0205
Sector 5-E,North Karachi,0905~1135,1335~1635,1805~2035,2205~0005
Sector 6B RMU (Ex- 6B Mehran Town),Qayyumabad,0935~1205,1335~1635,1805~2035,2205~0005
Sector-21,Baldia,1005~1235,1435~1735,1905~2135,2305~0105
Sehar Palace,Shadman,0705~0835,1205~1335,1535~1705,2135~2305
Shah Faisal Chowk,Orangi Town,1105~1235,1505~1635,1805~1935,0035~0205
Shah Khalid Colony (Roshan Bagh),Federal B,0705~0935,1205~1505,1635~1905,2035~2235
Shah Latif Town,KEPZ,1035~1205,1335~1505,1735~1905,0005~0135
Shah Stadium (Ex-Deh Taiser Sub Station 5),Surjani Town,0935~1205,1405~1705,1835~2105,2305~0105
Shah Waliullah,Lyari,1005~1235,1435~1735,1905~2135,2305~0105
Shaheed Chowk,Malir,0835~1105,1235~1535,1705~1935,2135~2335
Shah-E-Karbala,Old Golimar,0735~0935,1105~1335,1505~1805,1935~2205
Shamsuddin,Orangi Town,0705~0935,1205~1505,1635~1905,2035~2235
Shanti Nagar,Gulshan,1105~1235,1505~1635,1805~1935,0035~0205
Sheeren Jinnah,Clifton,0735~1005,1205~1505,1635~1905,2105~2305
Sher Pao RMU,Landhi,0735~0935,1105~1335,1505~1805,2035~2305
Sherton Square [ Ex- Jublee Gate],Gulistan E Johar,0805~0935,1235~1405,1535~1705,2135~2305
Shipowner College,North Nazimabad,1035~1305,1505~1805,1935~2205,0005~0205
Shumail Complex,Federal A,0735~1005,1205~1505,1635~1905,2035~2235
Siddiq-E-Akber,Landhi,0735~0935,1105~1335,1535~1835,2035~2305
Siddiqia Masjid RMU,Airport,0805~0935,1235~1405,1535~1705,2135~2305
Siddiqui Goth,Surjani Town,0935~1205,1405~1705,1835~2105,2305~0105
Sidra City (Ex-Pso Mardaan),R E C P,0835~1105,1235~1535,1705~1935,2205~0005
Sikanderabad 2 RMU,Clifton,0735~1005,1205~1505,1635~1905,2105~2305
Silver Town,P R L,0835~1105,1235~1535,1705~1935,2135~2335
Sindh Al-Kalies,KEPZ,0735~0935,1105~1335,1535~1835,2035~2305
Sindh Constabulary,Baldia,1005~1235,1435~1735,1905~2135,2305~0105
Sindh Town (Ex- Sindhi Hotel),Shadman,0935~1205,1335~1635,1805~2035,2235~0035
Sir Syed Chs (Aligarh 2),Gulshan-E-Maymar,0805~0935,1235~1405,1535~1705,2135~2305
Sitara Bakery RMU,Mehmoodabad,0705~0835,1205~1335,1535~1705,2135~2305
Slaughter House,West Wharf,1005~1235,1435~1735,1905~2135,2305~0105
Sm Rasheed,Orangi Town,1005~1235,1405~1705,1905~2135,2335~0135
Social Security,Landhi,0735~0935,1105~1335,1535~1835,2035~2305
Society Cinema,Jail Road,0935~1205,1405~1705,1835~2105,2335~0135
Sohail Shamsi,Korangi South,0735~0935,1105~1335,1505~1805,2035~2305
Special Education,Orangi Town,0705~0935,1205~1505,1635~1905,2035~2235
Stylish Garden,Surjani Town,0935~1205,1335~1635,1805~2035,2235~0035
Sufi Hotle,Mauripur,0705~0835,1135~1305,1535~1705,1905~2035
Suleman Arcade,Jacobline,1105~1235,1505~1635,1805~1935,0035~0205
Sultan Plaza,Surjani Town,0705~0835,1205~1335,1535~1705,2135~2305
Sultanabad Pumping,Valika,0735~1005,1205~1505,1635~1905,2105~2305
Sunlay Devlopers,KDA,0805~0935,1235~1405,1535~1705,2135~2305
Suparco Road Pole-1,Baldia,1005~1235,1435~1735,1905~2135,2305~0105
Super High Way Pumping,KDA,0835~1105,1235~1535,1705~1935,2205~0005
Super Market,Liaquatabad,0905~1135,1335~1635,1805~2035,2205~0005
Surjani Telephone Exchange,Surjani Town,0705~0835,1135~1305,1535~1705,1905~2035
Sweeper Quarter,Jacobline,0735~1005,1205~1505,1635~1905,2035~2235
T&T Pipri,Port Qasim,0805~0935,1235~1405,1535~1705,2135~2305
Tai Jeen,Mauripur,0705~0835,1135~1305,1535~1705,1905~2035
Talha Qazi,Valika,0705~0935,1135~1435,1635~1905,2035~2235
Talib Colony RMU,Jail Road,0905~1135,1335~1635,1805~2035,2205~0005
Tanga Stand,Airport,0805~0935,1235~1405,1535~1705,2135~2305
Tasveer Mehal,Korangi South,0805~0935,1235~1405,1535~1705,2135~2305
Taya Hotel (Ex-Liaqatabad 1 ),Liaquatabad,0705~0835,1205~1335,1535~1705,2135~2305
Technical College,Orangi Town,0705~0905,1105~1335,1505~1805,1935~2205
Telenor Pmt,Azizabad,0705~0835,1205~1335,1535~1705,2135~2305
Tibet Center,Elender Rd,1105~1235,1505~1635,1805~1935,0035~0205
Timber Market,Liaquatabad,0905~1135,1335~1635,1805~2035,2205~0005
Time Press,Civic Center,0935~1205,1405~1705,1835~2105,2305~0105
Tooba Masjid (Ex-Saifullah RMU),Site,1005~1235,1435~1735,1905~2135,2305~0105
Tori Bangush,Baldia,0935~1205,1335~1635,1805~2035,2205~0005
Touheed Colony,Orangi Town,0935~1105,1335~1505,1635~1805,2035~2205
Trust Ceramic,Landhi,0835~1105,1235~1535,1705~1935,2205~0005
Umar Khushk,Airport 2,0735~0935,1105~1335,1535~1835,2035~2305
Urdu Nagar,Malir,0835~1105,1235~1535,1705~1935,2205~0005
Urooj Garments,Gulshan-E-Maymar,0935~1205,1335~1635,1805~2035,2235~0035
Usman Goth (Ex-Kda Filter Plant),R E C P,0935~1205,1335~1635,1805~2035,2235~0035
Usman Terrace,Hospital,1105~1235,1505~1635,1805~1935,0035~0205
Usman-E-Ghani RMU,Baldia,1005~1235,1405~1705,1905~2135,2335~0135
Usmania Colony,Site,0935~1105,1335~1505,1635~1805,2035~2205
Veraval Patan,Malir,0935~1205,1335~1635,1805~2035,2235~0035
Vishan Das,Elender Rd,0935~1205,1405~1705,1835~2105,2335~0135
Vocational Institute,Korangi South,0805~0935,1235~1405,1535~1705,2135~2305
Wapda,Gadap,0835~1105,1235~1535,1705~1935,2205~0005
Waqas Cng,Jail Road,0935~1205,1335~1635,1805~2035,2235~0035
Wasi Country Park,Gulshan-E-Maymar,1035~1205,1335~1505,1735~1905,0005~0135
Water Boosting,Jacobline,0735~1005,1205~1505,1635~1905,2035~2235
White Flower,Shadman,0935~1205,1405~1705,1835~2105,2335~0135
White House,KDA,1105~1235,1505~1635,1805~1935,0035~0205
Yahya Enterprise (Ex-Haji Latif),Mauripur,0705~0935,1135~1435,1635~1905,2035~2235
Yasoob Bus Stop RMU,Baldia,1005~1235,1405~1705,1905~2135,2335~0135
Yousuf Goth,Surjani Town,0735~1005,1205~1505,1635~1905,2035~2235
Ywca,Elender Rd,0935~1205,1405~1705,1835~2105,2305~0105
Zafar Ice,Korangi East,0735~0935,1105~1335,1505~1805,2035~2305
Zahoor Councler,Orangi Town,0735~1005,1205~1505,1635~1905,2105~2305
Zaibunnisa College,North Karachi,0935~1205,1335~1635,1805~2035,2235~0035
Zamanabad RMU,Korangi East,1035~1305,1505~1805,1935~2205,0005~0205
Zareen Colony (Ex-Pak Ind Gases 2),Dhabeji,0835~1105,1235~1535,1705~1935,2205~0005
Zeenat Square,Liaquatabad,0905~1135,1335~1635,1805~2035,2205~0005
Zeeshan Society (Ex-Saima Villas 1),KDA,1105~1235,1505~1635,1805~1935,0035~0205
Zia Colony,Korangi Town,0835~1105,1235~1535,1705~1935,2135~2335
Zia-Ul-Haq Colony,Orangi Town,0935~1205,1335~1635,1805~2035,2205~0005
Zoo S/S,Garden East,0935~1105,1335~1505,1705~1835,2305~0035
Zorastrian,Mehmoodabad,0905~1135,1335~1635,1805~2035,2205~0005
