Feeder Name,Grid,1st Cycle,2nd Cycle,3rd Cycle,4th Cycle
Ia Industry,Mauripur,1105~1235,1505~1635,1805~1935,0035~0205
Ibrahim Ali Bhai,Site,0735~1005,1205~1505,1635~1905,2105~2305
Ibrahim Hadri,P R L,1105~1335,1505~1805,1935~2205,0005~0205
Ikhlaq Chowk (Ex-Masjid-E-Aqsa),West Wharf,1005~1235,1405~1705,1905~2135,2335~0135
Ilyas Goth,Liaquatabad,0935~1205,1335~1635,1805~2035,2235~0035
International Gum (Ex-Bela Engineering),Hub Chowki,0705~0935,1135~1435,1635~1905,2035~2235
International Industries Limited (Iil),KEPZ,1105~1235,1505~1635,1805~1935,0035~0205
Iqbal Center,Elender Rd,0935~1205,1405~1705,1835~2105,2335~0135
Iqbal Plaza,Shadman,0705~0835,1205~1335,1535~1705,2135~2305
Iqbal Road Pmt,Baldia,1005~1235,1435~1735,1905~2135,2305~0105
Islamia Colony,Orangi Town,0705~0935,1205~1505,1635~1905,2035~2235
Islamic Mission,P R L,0735~0935,1105~1335,1505~1805,2035~2305
Ismailia Platinium,Garden East,0935~1205,1405~1705,1835~2105,2305~0105
Ittehad Oil,Korangi Town,1035~1205,1335~1505,1735~1905,0005~0135
J 1 Area RMU,Korangi East,1035~1205,1335~1505,1735~1905,0005~0135
Jacobline Complex 1,Jacobline,0735~1005,1205~1505,1635~1905,2035~2235
Jam Sahib,Baldia,1105~1235,1505~1635,1805~1935,0035~0205
Jama Cloth,Elender Rd,1105~1235,1505~1635,1805~1935,0035~0205
Jamal Garden (Ex-Mansehra Colony),New Landhi,0935~1205,1335~1635,1805~2035,2235~0035
Jamia Sibtain,Gulshan,0935~1105,1335~1505,1635~1805,2235~0005
Jamil Masjid RMU (Ex- Rehmaniya Masjid),Korangi Town,1105~1235,1505~1635,1805~1935,0035~0205
Jeevani Height,KDA,1105~1335,1505~1805,1935~2205,0005~0205
Jhanjhar,KDA,0835~1105,1235~1535,1705~1935,2205~0005
Juma Khan RMU,Hub Chowki,0705~0935,1135~1435,1635~1905,2035~2235
Jumma Baloch,Lyari,1005~1235,1435~1735,1905~2135,2305~0105
Jumma Village,Korangi South,0835~1105,1235~1535,1705~1935,2135~2335
Junaid Trade Center,Old Town,0935~1105,1335~1505,1635~1805,2035~2205
Kaghzi Bazaar (Ex-Sarafa Bazaar),Queens Road,0705~0835,1135~1305,1535~1705,1905~2035
Kaka Khail,KDA,0735~0935,1105~1335,1535~1835,2035~2305
Kala Board Centre,Airport 2,0835~1105,1235~1535,1705~1935,2205~0005
