name,name_original,amenity,shop,tourism,@lat,@lon,final_category
Tyre Shop,Tyre Shop,,car_repair,,24.8849683,66.951372,Transport & Vehicles
General Store,General Store,,convenience,,24.8860578,66.9552993,Shopping & Retail
Nan Shop,Nan Shop,restaurant,,,24.8860968,66.9552671,Food & Dining
Fruit n Veg Shop,Fruit n Veg Shop,,greengrocer,,24.8831477,66.9502138,Food & Dining
Bakery,Bakery,,bakery,,24.8832086,66.9501817,Food & Dining
Gift Shop,Gift Shop,,gift,,24.8829288,66.9501226,Other / Unspecified
National Bank,National Bank,bank,,,24.8827779,66.950187,Services
SIF Market No 2,SIF Market No 2,marketplace,,,24.8847634,66.9560396,Shopping & Retail
Meet Shop,Meet Shop,,butcher,,24.8849094,66.9559216,Food & Dining
Computer Acc Shop,Computer Acc Shop,,hifi,,24.8848242,66.9562273,Other / Unspecified
Fruit n Veg Shop,Fruit n Veg Shop,,greengrocer,,24.8849483,66.9560262,Food & Dining
Milk Shop,Milk Shop,pub,,,24.8847829,66.9562515,Entertainment & Leisure
CD Computer Acc Shop,CD Computer Acc Shop,,hifi,,24.884885,66.9561844,Other / Unspecified
General Store,General Store,,convenience,,24.8846855,66.956222,Shopping & Retail
Cafe n Nan Shop,Cafe n Nan Shop,restaurant,,,24.8847074,66.9562676,Food & Dining
Shoe Repair,Shoe Repair,,florist,,24.8847462,66.9562731,Other / Unspecified
General Store,General Store,,convenience,,24.884649,66.956171,Shopping & Retail
Stitch Shop,Stitch Shop,,clothes,,24.8849167,66.9561764,Shopping & Retail
Gift Shop,Gift Shop,,gift,,24.8849556,66.9561549,Other / Unspecified
Cycle Repair Shop,Cycle Repair Shop,,bicycle,,24.8849897,66.9560905,Transport & Vehicles
General Store,General Store,,convenience,,24.8849313,66.9559698,Shopping & Retail
National Bank,National Bank,bank,,,24.8541963,67.0241398,Services
Mottas,Mottas,,supermarket,,24.8269207,67.03357,Shopping & Retail
Jeddah Foods,Jeddah Foods,fast_food,,,24.8271318,67.0335766,Food & Dining
Tipu Burger,Tipu Burger,fast_food,,,24.827242,67.0332106,Food & Dining
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.8888641,66.9828594,Transport & Vehicles
Seafront BBQ,Seafront BBQ,restaurant,,,24.8424475,66.9953222,Food & Dining
Habib Public School,Habib Public School,school,,,24.8414609,67.0201145,Education
Carefour Super Market,Carefour Super Market,,supermarket,,24.8019067,67.03066,Shopping & Retail
Eastern Autos,Eastern Autos,,car,,24.9125789,67.126503,Transport & Vehicles
Al Jeddah Medical Store,Al Jeddah Medical Store,pharmacy,,,24.9156407,66.9657386,Healthcare
Cafe Karachi,Cafe Karachi,cafe,,,24.8744292,67.0301985,Food & Dining
Emerald Mall & Tower,Emerald Mall & Tower,,mall,,24.8217046,67.0340335,Shopping & Retail
The Executive Lawn,The Executive Lawn,community_centre,,,24.9119263,67.1106531,Religious & Community
HBL Pakistan,ایچ بی ایل پاکستان,bank,,,24.9455671,67.0771094,Services
Agha Khan Hospital for Women,Agha Khan Hospital for Women,hospital,,,24.9265842,67.0646827,Healthcare
Ziauddin Hospital North Nazimabad,Ziauddin Hospital North Nazimabad,hospital,,,24.9239276,67.0447127,Healthcare
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.8316244,67.0785166,Transport & Vehicles
Gizri Graveyard,گزری قبرستان,grave_yard,,,24.8179854,67.0563529,Other / Unspecified
Sadequain Grammer School,Sadequain Grammer School,school,,,24.9277784,67.1314781,Education
Kaiser Restaurant,Kaiser Restaurant,restaurant,,,24.8554939,67.0095,Food & Dining
Dunkin Donuts,ڈنکن ڈونٹس,fast_food,,,24.8655472,67.0775606,Food & Dining
Pakistan Shipowner's Government College,Pakistan Shipowner's Government College,college,,,24.9488618,67.0409069,Education
Urdu Bazaar,Urdu Bazaar,marketplace,,,24.8589014,67.0171826,Shopping & Retail
Saad Car Airconditioning,Saad Car Airconditioning,,car_repair,,24.8627709,67.0584435,Transport & Vehicles
Qudsiya Mosque,Qudsiya Mosque,place_of_worship,,,24.9129005,67.0422088,Religious & Community
Hascol Petrol Station,Hascol Petrol Station,fuel,,,24.929999,67.13988,Transport & Vehicles
Pearl Continental Hotel,Pearl Continental Hotel,,,hotel,24.8476272,67.0259569,Accommodation
